,CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
72306,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-01,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72307,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-02,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72308,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-03,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72309,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-04,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72310,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-05,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72311,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-06,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72312,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-07,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72313,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-08,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,0.0,0.0,,,0.0,,,,,,,5.56,5.56,9.52,9.52,3.33,3.33,3.85,3.85,0.0,0.0
72314,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-09,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,0.0,0.0,,,0.0,,,,,,,5.56,5.56,9.52,9.52,3.33,3.33,3.85,3.85,0.0,0.0
72315,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-10,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,0.0,0.0,,,0.0,,,,,,,5.56,5.56,9.52,9.52,3.33,3.33,3.85,3.85,0.0,0.0
72316,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-11,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,0.0,0.0,,,0.0,,,,,,,5.56,5.56,9.52,9.52,3.33,3.33,3.85,3.85,0.0,0.0
72317,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-12,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,0.0,0.0,,,0.0,,,,,,,5.56,5.56,9.52,9.52,3.33,3.33,3.85,3.85,0.0,0.0
72318,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-13,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,0.0,0.0,,,0.0,,,,,,,5.56,5.56,9.52,9.52,3.33,3.33,3.85,3.85,0.0,0.0
72319,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-14,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,0.0,0.0,,,0.0,,,,,,,5.56,5.56,9.52,9.52,3.33,3.33,3.85,3.85,0.0,0.0
72320,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-15,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,0.0,0.0,,,0.0,,,,,,,5.56,5.56,9.52,9.52,3.33,3.33,3.85,3.85,0.0,0.0
72321,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-16,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,0.0,0.0,,,0.0,,,,,,,5.56,5.56,9.52,9.52,3.33,3.33,3.85,3.85,0.0,0.0
72322,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-17,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,0.0,0.0,,,0.0,,,,,,,5.56,5.56,9.52,9.52,3.33,3.33,3.85,3.85,0.0,0.0
72323,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-18,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,0.0,0.0,,,0.0,,,,,,,5.56,5.56,9.52,9.52,3.33,3.33,3.85,3.85,0.0,0.0
72324,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-19,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,0.0,0.0,,,0.0,,,,,,,5.56,5.56,9.52,9.52,3.33,3.33,3.85,3.85,0.0,0.0
72325,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-20,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,0.0,0.0,,,0.0,,,,,,,5.56,5.56,9.52,9.52,3.33,3.33,3.85,3.85,0.0,0.0
72326,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-21,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,,,0.0,,,,,,,5.56,5.56,9.52,9.52,8.89,8.89,10.26,10.26,0.0,0.0
72327,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-22,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,,,0.0,,,,,0.0,0.0,5.56,5.56,9.52,9.52,8.89,8.89,10.26,10.26,0.0,0.0
72328,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-23,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,,,0.0,,,,,0.0,0.0,5.56,5.56,9.52,9.52,8.89,8.89,10.26,10.26,0.0,0.0
72329,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-24,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,,,0.0,,,,,0.0,0.0,5.56,5.56,9.52,9.52,8.89,8.89,10.26,10.26,0.0,0.0
72330,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-25,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,,,0.0,,,,,0.0,0.0,5.56,5.56,9.52,9.52,8.89,8.89,10.26,10.26,0.0,0.0
72331,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-26,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,,,0.0,,,,,0.0,0.0,5.56,5.56,9.52,9.52,8.89,8.89,10.26,10.26,0.0,0.0
72332,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-27,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,,,0.0,,,,,0.0,0.0,5.56,5.56,9.52,9.52,8.89,8.89,10.26,10.26,0.0,0.0
72333,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-28,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,,,0.0,,,,,0.0,0.0,5.56,5.56,9.52,9.52,8.89,8.89,10.26,10.26,0.0,0.0
72334,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-29,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,,,0.0,,,,,0.0,0.0,5.56,5.56,9.52,9.52,8.89,8.89,10.26,10.26,0.0,0.0
72335,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-30,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,,,0.0,,,,,0.0,0.0,5.56,5.56,9.52,9.52,8.89,8.89,10.26,10.26,0.0,0.0
72336,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-01-31,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,,,0.0,,,,,0.0,0.0,5.56,5.56,9.52,9.52,8.89,8.89,10.26,10.26,0.0,0.0
72337,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-02-01,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,,,0.0,,,,,0.0,0.0,5.56,5.56,9.52,9.52,8.89,8.89,10.26,10.26,0.0,0.0
72338,United States,USA,Alaska,US_AK,STATE_TOTAL,2020-02-02,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,,,0.0,,,,,0.0,0.0,11.11,11.11,16.67,16.67,12.22,12.22,14.1,14.1,0.0,0.0
